market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
buenos-aires,1,2025-09-27,2025-11-27,977355950062456425,3,0
buenos-aires,1,2025-09-27,2025-11-27,977527582342963368,4,0
buenos-aires,1,2025-09-27,2025-11-27,981935554401549217,21,2
buenos-aires,1,2025-09-27,2025-11-27,989246680114787127,3,0
buenos-aires,1,2025-09-27,2025-11-27,994993033426378412,7,0
buenos-aires,1,2025-09-27,2025-11-27,998650465807160072,5,0
buenos-aires,1,2025-09-27,2025-11-27,1008121854645901771,15,0
buenos-aires,1,2025-09-27,2025-11-27,1017600089218152512,2,0
buenos-aires,1,2025-09-27,2025-11-27,1020342397902751291,51,0
buenos-aires,1,2025-09-27,2025-11-27,1022406340420913700,3,0
buenos-aires,1,2025-09-27,2025-11-27,1027373533244045485,8,0
buenos-aires,1,2025-09-27,2025-11-27,1029251724924233299,23,0
buenos-aires,1,2025-09-27,2025-11-27,1029741932485850686,5,0
buenos-aires,1,2025-09-27,2025-11-27,1031056467138840117,18,0
buenos-aires,1,2025-09-27,2025-11-27,1034714477949408011,6,0
buenos-aires,1,2025-09-27,2025-11-27,1034752704966817616,7,0
buenos-aires,1,2025-09-27,2025-11-27,1039230314347734126,3,0
buenos-aires,1,2025-09-27,2025-11-27,1041356647458583603,2,0
buenos-aires,1,2025-09-27,2025-11-27,1041458387742191479,3,0
buenos-aires,1,2025-09-27,2025-11-27,1042237760656429583,14,0
buenos-aires,1,2025-09-27,2025-11-27,1044470888841215724,7,0
buenos-aires,1,2025-09-27,2025-11-27,1046412526277672101,3,0
buenos-aires,1,2025-09-27,2025-11-27,1048720139497748639,15,0
buenos-aires,1,2025-09-27,2025-11-27,1049630021895125541,4,2
buenos-aires,1,2025-09-27,2025-11-27,1049887251280058396,18,0
buenos-aires,1,2025-09-27,2025-11-27,1054610602665835859,3,0
buenos-aires,1,2025-09-27,2025-11-27,1055109062169605214,1,1
buenos-aires,1,2025-09-27,2025-11-27,1056015611332762125,6,0
buenos-aires,1,2025-09-27,2025-11-27,1056423076637300357,3,0
buenos-aires,1,2025-09-27,2025-11-27,1064403461398521364,9,0
buenos-aires,1,2025-09-27,2025-11-27,1065220931636144636,26,1
buenos-aires,1,2025-09-27,2025-11-27,1065957258106277371,36,0
buenos-aires,1,2025-09-27,2025-11-27,1066132627542437500,35,15
buenos-aires,1,2025-09-27,2025-11-27,1066526076971496808,7,0
buenos-aires,1,2025-09-27,2025-11-27,1066561008916331876,4,0
buenos-aires,1,2025-09-27,2025-11-27,1071036420246571535,8,0
buenos-aires,1,2025-09-27,2025-11-27,1071846302906047333,9,0
buenos-aires,1,2025-09-27,2025-11-27,1073831781705807258,7,0
buenos-aires,1,2025-09-27,2025-11-27,1074066514778405206,7,0
buenos-aires,1,2025-09-27,2025-11-27,1075168672054719277,1,0
buenos-aires,1,2025-09-27,2025-11-27,1076262432049778253,1,0
buenos-aires,1,2025-09-27,2025-11-27,1083414567780500694,3,0
buenos-aires,1,2025-09-27,2025-11-27,1084298946532278996,7,0
buenos-aires,1,2025-09-27,2025-11-27,1086939367672012854,4,0
buenos-aires,1,2025-09-27,2025-11-27,1086951821227452103,6,0
buenos-aires,1,2025-09-27,2025-11-27,1090034750422044408,9,3
buenos-aires,1,2025-09-27,2025-11-27,1095121439084946036,21,0
buenos-aires,1,2025-09-27,2025-11-27,1095821290177508433,8,0
buenos-aires,1,2025-09-27,2025-11-27,1096492757707648231,6,0
buenos-aires,1,2025-09-27,2025-11-27,1097100159414090332,13,0
buenos-aires,1,2025-09-27,2025-11-27,1099222335306040189,15,0
buenos-aires,1,2025-09-27,2025-11-27,1100764515869939057,12,0
buenos-aires,1,2025-09-27,2025-11-27,1105222100510301773,13,0
buenos-aires,1,2025-09-27,2025-11-27,1111510506711667845,13,0
buenos-aires,1,2025-09-27,2025-11-27,1111541163187637830,3,0
buenos-aires,1,2025-09-27,2025-11-27,1113853090334183675,2,0
buenos-aires,1,2025-09-27,2025-11-27,1114701231772990359,24,4
buenos-aires,1,2025-09-27,2025-11-27,1116566509798745333,3,0
buenos-aires,1,2025-09-27,2025-11-27,1121722885652679930,1,0
buenos-aires,1,2025-09-27,2025-11-27,1122382722584275648,12,0
buenos-aires,1,2025-09-27,2025-11-27,1123106382648196425,34,0
buenos-aires,1,2025-09-27,2025-11-27,1128102807200594355,2,0
buenos-aires,1,2025-09-27,2025-11-27,1129965013202268544,2,0
buenos-aires,1,2025-09-27,2025-11-27,1130720905563012641,4,0
buenos-aires,1,2025-09-27,2025-11-27,1131239563101450299,40,1
buenos-aires,1,2025-09-27,2025-11-27,1131908431702255094,25,0
buenos-aires,1,2025-09-27,2025-11-27,1132725989633119878,8,0
buenos-aires,1,2025-09-27,2025-11-27,1134218964304225329,5,0
buenos-aires,1,2025-09-27,2025-11-27,1134948240360938109,2,0
buenos-aires,1,2025-09-27,2025-11-27,1135611859359558290,7,0
buenos-aires,1,2025-09-27,2025-11-27,1137761349017521615,3,0
buenos-aires,1,2025-09-27,2025-11-27,1142995336951193122,1,0
buenos-aires,1,2025-09-27,2025-11-27,1143525724257255495,28,0
buenos-aires,1,2025-09-27,2025-11-27,1150578704497983973,2,0
buenos-aires,1,2025-09-27,2025-11-27,1152794392155025720,8,0
buenos-aires,1,2025-09-27,2025-11-27,1152969251746249650,14,0
buenos-aires,1,2025-09-27,2025-11-27,1161137024104064746,22,0
buenos-aires,1,2025-09-27,2025-11-27,1161719116795581363,5,0
buenos-aires,1,2025-09-27,2025-11-27,1162414465751040933,31,0
buenos-aires,1,2025-09-27,2025-11-27,1163112049634761778,7,0
buenos-aires,1,2025-09-27,2025-11-27,1166816123205633786,2,0
buenos-aires,1,2025-09-27,2025-11-27,1167447628986889922,38,0
buenos-aires,1,2025-09-27,2025-11-27,1172416491663817171,30,6
buenos-aires,1,2025-09-27,2025-11-27,1172899759794037592,2,0
buenos-aires,1,2025-09-27,2025-11-27,1173544170526930279,8,0
buenos-aires,1,2025-09-27,2025-11-27,1174010504377823022,9,0
buenos-aires,1,2025-09-27,2025-11-27,1176979114532470271,8,0
buenos-aires,1,2025-09-27,2025-11-27,1181376319833157293,29,0
buenos-aires,1,2025-09-27,2025-11-27,1183306874465141742,18,0
buenos-aires,1,2025-09-27,2025-11-27,1184116036929225456,21,0
buenos-aires,1,2025-09-27,2025-11-27,1184168663281658992,5,5
buenos-aires,1,2025-09-27,2025-11-27,1187002976361671292,8,0
buenos-aires,1,2025-09-27,2025-11-27,1187615411293990637,5,0
buenos-aires,1,2025-09-27,2025-11-27,1192112394130975452,17,3
buenos-aires,1,2025-09-27,2025-11-27,1193545392059739137,6,0
