market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
belize,2,2025-12-29,2026-03-30,9848776,8,0
belize,2,2025-12-29,2026-03-30,12725571,23,4
belize,2,2025-12-29,2026-03-30,12984190,15,11
belize,2,2025-12-29,2026-03-30,13005742,36,33
belize,2,2025-12-29,2026-03-30,13314067,15,11
belize,2,2025-12-29,2026-03-30,13953955,9,0
belize,2,2025-12-29,2026-03-30,14484119,5,2
belize,2,2025-12-29,2026-03-30,14732433,73,1
belize,2,2025-12-29,2026-03-30,14930054,12,0
belize,2,2025-12-29,2026-03-30,16089348,5,0
belize,2,2025-12-29,2026-03-30,17419329,8,0
belize,2,2025-12-29,2026-03-30,17750669,22,0
belize,2,2025-12-29,2026-03-30,18134642,13,1
belize,2,2025-12-29,2026-03-30,18974444,6,6
belize,2,2025-12-29,2026-03-30,19296963,6,0
belize,2,2025-12-29,2026-03-30,19930308,9,2
belize,2,2025-12-29,2026-03-30,20392274,5,0
belize,2,2025-12-29,2026-03-30,20471865,13,0
belize,2,2025-12-29,2026-03-30,20471866,9,0
belize,2,2025-12-29,2026-03-30,20599884,13,1
belize,2,2025-12-29,2026-03-30,21326369,51,0
belize,2,2025-12-29,2026-03-30,21754451,31,0
belize,2,2025-12-29,2026-03-30,22585239,39,11
belize,2,2025-12-29,2026-03-30,23321288,36,3
belize,2,2025-12-29,2026-03-30,24077366,18,0
belize,2,2025-12-29,2026-03-30,24678132,22,0
belize,2,2025-12-29,2026-03-30,25840079,46,13
belize,2,2025-12-29,2026-03-30,28202852,18,0
belize,2,2025-12-29,2026-03-30,28363146,21,0
belize,2,2025-12-29,2026-03-30,31053120,7,0
belize,2,2025-12-29,2026-03-30,31516424,8,1
belize,2,2025-12-29,2026-03-30,33588492,24,0
belize,2,2025-12-29,2026-03-30,34281665,1,0
belize,2,2025-12-29,2026-03-30,34617739,74,0
belize,2,2025-12-29,2026-03-30,34618613,51,0
belize,2,2025-12-29,2026-03-30,36065414,7,0
belize,2,2025-12-29,2026-03-30,36559602,34,6
belize,2,2025-12-29,2026-03-30,37771130,22,2
belize,2,2025-12-29,2026-03-30,37907695,2,0
belize,2,2025-12-29,2026-03-30,39156629,9,1
belize,2,2025-12-29,2026-03-30,39821787,23,7
belize,2,2025-12-29,2026-03-30,41196731,20,3
belize,2,2025-12-29,2026-03-30,41382421,9,7
belize,2,2025-12-29,2026-03-30,42412476,4,0
belize,2,2025-12-29,2026-03-30,42586677,4,2
belize,2,2025-12-29,2026-03-30,43001393,10,7
belize,2,2025-12-29,2026-03-30,43941284,7,0
belize,2,2025-12-29,2026-03-30,49243129,3,3
belize,2,2025-12-29,2026-03-30,50910140,7,0
belize,2,2025-12-29,2026-03-30,50953685,7,7
belize,2,2025-12-29,2026-03-30,51781136,48,0
belize,2,2025-12-29,2026-03-30,52335837,58,0
belize,2,2025-12-29,2026-03-30,53379696,15,0
belize,2,2025-12-29,2026-03-30,53473457,8,0
belize,2,2025-12-29,2026-03-30,53906913,3,0
belize,2,2025-12-29,2026-03-30,53925565,5,0
belize,2,2025-12-29,2026-03-30,53982687,13,4
belize,2,2025-12-29,2026-03-30,558022265797199396,6,1
belize,2,2025-12-29,2026-03-30,592627964119028040,4,0
belize,2,2025-12-29,2026-03-30,607822911056925759,17,5
belize,2,2025-12-29,2026-03-30,648369869716192109,9,0
belize,2,2025-12-29,2026-03-30,670912000485979369,3,0
belize,2,2025-12-29,2026-03-30,677548045655730848,8,1
belize,2,2025-12-29,2026-03-30,682138762239171765,3,0
belize,2,2025-12-29,2026-03-30,695014126901686747,20,6
belize,2,2025-12-29,2026-03-30,708946892867286632,7,6
belize,2,2025-12-29,2026-03-30,709437863918455288,13,0
belize,2,2025-12-29,2026-03-30,718791526019226967,20,0
belize,2,2025-12-29,2026-03-30,729805383046898530,9,0
belize,2,2025-12-29,2026-03-30,736960531154338495,37,3
belize,2,2025-12-29,2026-03-30,746968711786529779,46,0
belize,2,2025-12-29,2026-03-30,805726358991636520,14,0
belize,2,2025-12-29,2026-03-30,805814534649215893,3,1
belize,2,2025-12-29,2026-03-30,805831010841820079,15,0
belize,2,2025-12-29,2026-03-30,805852271824697154,3,0
belize,2,2025-12-29,2026-03-30,816717995785099315,51,0
belize,2,2025-12-29,2026-03-30,833278561779161065,7,0
belize,2,2025-12-29,2026-03-30,850770903468530269,20,5
belize,2,2025-12-29,2026-03-30,889358282698402487,11,0
belize,2,2025-12-29,2026-03-30,918112998472672803,13,0
belize,2,2025-12-29,2026-03-30,918113013920584638,18,0
belize,2,2025-12-29,2026-03-30,918113164476999649,18,0
belize,2,2025-12-29,2026-03-30,922568547649995361,16,9
belize,2,2025-12-29,2026-03-30,937609612912252003,34,0
belize,2,2025-12-29,2026-03-30,958681704812324785,34,7
belize,2,2025-12-29,2026-03-30,989202066725188946,6,0
belize,2,2025-12-29,2026-03-30,1007892389927592300,14,0
belize,2,2025-12-29,2026-03-30,1008598576150917386,22,0
belize,2,2025-12-29,2026-03-30,1016824116092298167,36,0
belize,2,2025-12-29,2026-03-30,1021798144626543282,35,12
belize,2,2025-12-29,2026-03-30,1024906990122533862,14,6
belize,2,2025-12-29,2026-03-30,1051617365976926801,16,0
belize,2,2025-12-29,2026-03-30,1092781891182804956,4,0
belize,2,2025-12-29,2026-03-30,1094394214360615365,18,1
belize,2,2025-12-29,2026-03-30,1109413513081726251,9,0
belize,2,2025-12-29,2026-03-30,1142311654855100127,17,1
belize,2,2025-12-29,2026-03-30,1144943802126677845,1,0
belize,2,2025-12-29,2026-03-30,1184912107206660549,22,10
belize,2,2025-12-29,2026-03-30,1222539874872094282,10,0
belize,2,2025-12-29,2026-03-30,1244206804781124566,6,1
belize,2,2025-12-29,2026-03-30,1258784585472409730,8,8
belize,2,2025-12-29,2026-03-30,1269738355640234236,13,9
belize,2,2025-12-29,2026-03-30,1271002875093460274,31,3
belize,2,2025-12-29,2026-03-30,1272414542622232461,6,6
belize,2,2025-12-29,2026-03-30,1277583055551411547,20,7
belize,2,2025-12-29,2026-03-30,1282765973466166061,9,0
belize,2,2025-12-29,2026-03-30,1294324801214580863,1,0
belize,2,2025-12-29,2026-03-30,1297979230695530088,3,1
belize,2,2025-12-29,2026-03-30,1298017714359360870,9,7
belize,2,2025-12-29,2026-03-30,1313943839293225717,7,5
belize,2,2025-12-29,2026-03-30,1318146687577372859,2,0
