norm,quarter,coef,B,uf_ratio,fp_ratio,m_pct,u_pct
"same-quarter GBV, 2023+2024+1H25",2Q26,0.124,1.0,0.848,0.938,8.591,7.199
"same-quarter GBV, 2023+2024+1H25",2Q26,0.124,1.05,0.848,0.938,8.591,11.618
"same-quarter GBV, 2023+2024+1H25",2Q26,0.124,1.1,0.848,0.938,8.591,15.635
"same-quarter GBV, 2023+2024+1H25",2Q26,0.142,1.0,0.848,0.938,8.467,7.325
"same-quarter GBV, 2023+2024+1H25",2Q26,0.142,1.05,0.848,0.938,8.467,11.738
"same-quarter GBV, 2023+2024+1H25",2Q26,0.142,1.1,0.848,0.938,8.467,15.75
"same-quarter GBV, 2022-2024",4Q25,0.1,1.0,0.944,0.956,1.159,4.461
"same-quarter GBV, 2022-2024",4Q25,0.1,1.05,0.944,0.956,1.159,9.011
"same-quarter GBV, 2022-2024",4Q25,0.1,1.1,0.944,0.956,1.159,13.147
"same-quarter GBV, 2022-2024",4Q25,0.124,1.0,0.944,0.956,1.134,4.485
"same-quarter GBV, 2022-2024",4Q25,0.124,1.05,0.944,0.956,1.134,9.033
"same-quarter GBV, 2022-2024",4Q25,0.124,1.1,0.944,0.956,1.134,13.168
"same-quarter GBV, 2022-2024",4Q25,0.142,1.0,0.944,0.956,1.117,4.502
"same-quarter GBV, 2022-2024",4Q25,0.142,1.05,0.944,0.956,1.117,9.049
"same-quarter GBV, 2022-2024",4Q25,0.142,1.1,0.944,0.956,1.117,13.184
"same-quarter GBV, 2022-2024",1Q26,0.1,1.0,0.893,0.971,7.296,3.652
"same-quarter GBV, 2022-2024",1Q26,0.1,1.05,0.893,0.971,7.296,8.24
"same-quarter GBV, 2022-2024",1Q26,0.1,1.1,0.893,0.971,7.296,12.411
"same-quarter GBV, 2022-2024",1Q26,0.124,1.0,0.893,0.971,7.152,3.803
"same-quarter GBV, 2022-2024",1Q26,0.124,1.05,0.893,0.971,7.152,8.383
"same-quarter GBV, 2022-2024",1Q26,0.124,1.1,0.893,0.971,7.152,12.548
"same-quarter GBV, 2022-2024",1Q26,0.142,1.0,0.893,0.971,7.047,3.911
"same-quarter GBV, 2022-2024",1Q26,0.142,1.05,0.893,0.971,7.047,8.487
"same-quarter GBV, 2022-2024",1Q26,0.142,1.1,0.893,0.971,7.047,12.646
"same-quarter GBV, 2022-2024",2Q26,0.1,1.0,0.86,0.959,9.474,4.99
"same-quarter GBV, 2022-2024",2Q26,0.1,1.05,0.86,0.959,9.474,9.514
"same-quarter GBV, 2022-2024",2Q26,0.1,1.1,0.86,0.959,9.474,13.627
"same-quarter GBV, 2022-2024",2Q26,0.124,1.0,0.86,0.959,9.291,5.182
"same-quarter GBV, 2022-2024",2Q26,0.124,1.05,0.86,0.959,9.291,9.697
"same-quarter GBV, 2022-2024",2Q26,0.124,1.1,0.86,0.959,9.291,13.802
"same-quarter GBV, 2022-2024",2Q26,0.142,1.0,0.86,0.959,9.158,5.321
"same-quarter GBV, 2022-2024",2Q26,0.142,1.05,0.86,0.959,9.158,9.829
"same-quarter GBV, 2022-2024",2Q26,0.142,1.1,0.86,0.959,9.158,13.928
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.1,1.0,0.984,1.01,2.335,-0.738
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.1,1.05,0.984,1.01,2.335,4.059
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.1,1.1,0.984,1.01,2.335,8.42
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.124,1.0,0.984,1.01,2.286,-0.688
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.124,1.05,0.984,1.01,2.286,4.107
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.124,1.1,0.984,1.01,2.286,8.466
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.142,1.0,0.984,1.01,2.251,-0.651
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.142,1.05,0.984,1.01,2.251,4.141
"trailing-4 revenue, 2023+2024+1H25",4Q25,0.142,1.1,0.984,1.01,2.251,8.499
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.1,1.0,0.889,0.977,8.301,3.091
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.1,1.05,0.889,0.977,8.301,7.706
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.1,1.1,0.889,0.977,8.301,11.901
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.124,1.0,0.889,0.977,8.138,3.263
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.124,1.05,0.889,0.977,8.138,7.869
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.124,1.1,0.889,0.977,8.138,12.057
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.142,1.0,0.889,0.977,8.02,3.387
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.142,1.05,0.889,0.977,8.02,7.988
"trailing-4 revenue, 2023+2024+1H25",1Q26,0.142,1.1,0.889,0.977,8.02,12.17
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.1,1.0,0.855,0.946,8.766,6.236
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.1,1.05,0.855,0.946,8.766,10.701
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.1,1.1,0.855,0.946,8.766,14.76
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.124,1.0,0.855,0.946,8.595,6.411
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.124,1.05,0.855,0.946,8.595,10.868
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.124,1.1,0.855,0.946,8.595,14.919
