window,target,horizon_q,object,spec_id,n,mae,rw_mae,bias,mae_ratio_street,rw_mae_ratio_street,passes
W1,adj_ebitda_margin_pct,1,street_plus_flowthrough,rw_hl4_from21,13,1.8484408401760386,1.4141528989352732,1.321855791759075,1.1262842023459774,1.1296736846312785,False
W1,adj_ebitda_margin_pct,1,street_plus_flowthrough,rw_hl4_med,13,1.7301930742319023,1.430217689906009,1.3074793469205328,1.054233970685384,1.1425067889033882,False
W1,adj_ebitda_margin_pct,1,street_plus_flowthrough,rw_hl4_usd,13,1.7717733064097354,1.376285542821207,0.9743669918927085,1.0795694629629249,1.0994239459072483,False
W2,adj_ebitda_musd,0,street(raw baseline),-,10,58.117728,59.32069626267775,-42.47894600000003,1.0,1.0,False
W2,adj_ebitda_musd,0,dispersion_conditioned,ew,10,53.84727084236406,41.61946039846346,28.158300265155077,0.9265205763440041,0.7016010097752138,True
W2,adj_ebitda_musd,0,dispersion_conditioned,ew_usd,10,43.445432454542164,36.60361224467164,17.94490813129652,0.747541825009783,0.6170462342954863,True
W2,adj_ebitda_musd,0,dispersion_conditioned,rw_hl4,10,50.28396478887025,42.68952001563573,6.631559676984892,0.8652087154692326,0.71963956435377,True
W2,adj_ebitda_musd,0,dispersion_conditioned,rw_hl4_from21,10,52.08318155095967,43.455596143762946,16.27532860390189,0.8961668555068029,0.7325537102824516,True
W2,adj_ebitda_musd,0,dispersion_conditioned,rw_hl4_med,10,48.76256124357983,41.19949182742429,3.505570996233814,0.8390307557029729,0.6945213799411419,True
W2,adj_ebitda_musd,0,dispersion_conditioned,rw_hl4_usd,10,43.45867255802655,42.59848105559314,-1.9658885910010326,0.7477696402382858,0.7181048729934485,True
W2,adj_ebitda_musd,0,street_plus_bias,ew,10,92.87975108994985,72.92912434746269,80.8538073538246,1.5981311432193264,1.2294043890605315,False
W2,adj_ebitda_musd,0,street_plus_bias,ew_usd,10,48.67276982134656,38.16243566073923,42.40331775818866,0.8374857637474501,0.6433241358421062,True
W2,adj_ebitda_musd,0,street_plus_bias,rw_hl4,10,68.20247284904777,48.5895738354702,40.13242453458802,1.173522696018808,0.8190998571613336,False
W2,adj_ebitda_musd,0,street_plus_bias,rw_hl4_from21,10,75.28662658707002,52.53265205649366,55.3531579959663,1.295415859805635,0.8855703888550805,False
W2,adj_ebitda_musd,0,street_plus_bias,rw_hl4_med,10,67.55235911868654,48.48811168687593,37.95175795304764,1.1623365441726583,0.8173894566605542,False
W2,adj_ebitda_musd,0,street_plus_bias,rw_hl4_usd,10,36.73854963107099,29.71062085580341,9.198817826590732,0.632140155772624,0.5008474736075572,True
W2,adj_ebitda_musd,0,street_plus_flowthrough,ew,10,43.69358523763152,47.53227255431861,30.79829312412027,0.7518116543996957,0.8012763765253383,True
W2,adj_ebitda_musd,0,street_plus_flowthrough,ew_usd,10,43.69358523763152,47.53227255431861,30.79829312412027,0.7518116543996957,0.8012763765253383,True
W2,adj_ebitda_musd,0,street_plus_flowthrough,rw_hl4,10,33.758435812550935,31.07984074527754,15.04534275072138,0.5808629651274554,0.5239291293489378,True
W2,adj_ebitda_musd,0,street_plus_flowthrough,rw_hl4_from21,10,36.640925553264516,37.386422515045886,21.64135601709122,0.630460391591091,0.6302424764115244,True
W2,adj_ebitda_musd,0,street_plus_flowthrough,rw_hl4_med,10,34.85586695977701,31.707222179714023,19.86313433931169,0.5997458634270254,0.534505226292547,True
W2,adj_ebitda_musd,0,street_plus_flowthrough,rw_hl4_usd,10,33.758435812550935,31.07984074527754,15.04534275072138,0.5808629651274554,0.5239291293489378,True
W2,adj_ebitda_musd,1,street(raw baseline),-,9,46.73704000000001,50.82027590775781,-0.38677111111111473,1.0,1.0,False
W2,adj_ebitda_musd,1,dispersion_conditioned,ew,9,106.96905251401671,83.59529527610655,95.55205557788216,2.2887425586647483,1.6449201383289926,False
W2,adj_ebitda_musd,1,dispersion_conditioned,ew_usd,9,70.47658398806402,59.97193519808119,50.0088713041756,1.50793854270754,1.1800788981731278,False
W2,adj_ebitda_musd,1,dispersion_conditioned,rw_hl4,9,87.68546569582219,74.03311384624051,58.03159600442902,1.8761450381928804,1.456763319833516,False
W2,adj_ebitda_musd,1,dispersion_conditioned,rw_hl4_from21,9,98.25638990614358,79.98826297633296,74.07733155112388,2.1023237651794715,1.5739438943920139,False
