object_id,name,postal_code,rooms,longitude,latitude,row_update_code,name_postal_key,source_id,independent_status,airbnb_membership
19952,7 Wonders Hostel @ Upper Dickson,207472,8,103.85235056827084,1.3063517614290758,20241009094137,7 WONDERS HOSTEL UPPER DICKSON|207472,HRE-SG-HLB,unverified,unverified
19953,Aloft Singapore Novena,329983,785,103.84637426060308,1.3271081317085607,20241009094137,ALOFT SINGAPORE NOVENA|329983,HRE-SG-HLB,unverified,unverified
19954,Amoy Hotel,048464,37,103.84864539808967,1.2830003893765918,20241009094137,AMOY HOTEL|048464,HRE-SG-HLB,unverified,unverified
19955,AMRISE HOTEL 12,399007,35,103.8788015258232,1.3102098673210905,20241009094137,AMRISE HOTEL 12|399007,HRE-SG-HLB,unverified,unverified
19956,Amrise Hotel Kitchener,208906,75,103.85807254306494,1.309306524770172,20241009094137,AMRISE HOTEL KITCHENER|208906,HRE-SG-HLB,unverified,unverified
19957,AQ @ Mountbatten,437761,40,103.89145244164084,1.3007612916238382,20241009094137,AQ MOUNTBATTEN|437761,HRE-SG-HLB,unverified,unverified
19958,AQUEEN Hotel - Paya Lebar,409180,162,103.8916176858575,1.3220882008654615,20241009094137,AQUEEN HOTEL PAYA LEBAR|409180,HRE-SG-HLB,unverified,unverified
19959,Arena Esports Hotel @ Orchard,229456,46,103.84025848016708,1.3020611081173246,20241009094137,ARENA ESPORTS HOTEL ORCHARD|229456,HRE-SG-HLB,unverified,unverified
19960,Ascott Singapore Raffles Place,049247,146,103.8515444010207,1.2820845470796103,20241009094137,ASCOTT SINGAPORE RAFFLES PLACE|049247,HRE-SG-HLB,unverified,unverified
19961,Beary Best! Hostel,058332,11,103.84538117333031,1.2838460677069647,20241009094137,BEARY BEST HOSTEL|058332,HRE-SG-HLB,unverified,unverified
19962,Beverly Hotels Elements,209069,50,103.86192846082716,1.309488188437052,20241009094137,BEVERLY HOTELS ELEMENTS|209069,HRE-SG-HLB,unverified,unverified
19963,Bliss Hotel Singapore,058353,42,103.84430419569426,1.2844577443070713,20241009094137,BLISS HOTEL SINGAPORE|058353,HRE-SG-HLB,unverified,unverified
19964,Bluewaters Pods 38 Hong Kong St,059677,6,103.8473219661866,1.2873225150364376,20241009094137,BLUEWATERS PODS 38 HONG KONG ST|059677,HRE-SG-HLB,unverified,unverified
19965,BudgetOne Hotel,398793,49,103.88042359314785,1.3122172078333865,20241009094137,BUDGETONE HOTEL|398793,HRE-SG-HLB,unverified,unverified
19966,BUTTERNUTTREE HOTEL,088392,55,103.84182451227079,1.280631337911612,20241009094137,BUTTERNUTTREE HOTEL|088392,HRE-SG-HLB,unverified,unverified
19967,"Capri By Fraser China Square, Singapore",058743,304,103.84706168445707,1.2840146762077715,20241009094137,CAPRI BY FRASER CHINA SQUARE SINGAPORE|058743,HRE-SG-HLB,unverified,unverified
