block,kind,target,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,perm_p,loo_rmse,naive_last_rmse,loo_mean_rmse,loo_r2_vs_mean,beats_naive_last,beats_loo_mean,mean_surprise,median_surprise,share_positive,r2_full,loo_r2,rmse_model_loo,rmse_sqpy_naive,rmse_model_loo_on_bound_rows,rmse_guide_bound,rmse_sqpy_on_bound_rows,n_bound_rows,coefs,quarters,nowcast_surprise_vs_bound_pts,nowcast_margin_pct,guide_bound_pct,sqpy_margin_pct,nowcast_margin_yoy_pts
univariate,contemporaneous (in the print),surprise_specsign_pts,sm_cash_yoy,14,-0.5527,0.0404,-0.5077,0.0638,0.0398,1.8822,2.4607,2.0650,0.1692,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_specsign_pts,sm_delev_pts,14,-0.6106,0.0204,-0.2791,0.3338,0.0221,1.8440,2.4607,2.0650,0.2026,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_specsign_pts,ops_per_night_yoy,14,-0.2741,0.3430,-0.2835,0.3260,0.3427,2.1115,2.4607,2.0650,-0.0456,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_specsign_pts,take_rate_chg_bps,14,0.0893,0.7615,-0.0593,0.8403,0.7573,2.2242,2.4607,2.0650,-0.1601,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_specsign_pts,sbc_pct_rev_chg_pts,14,-0.1776,0.5436,-0.0857,0.7708,0.5361,2.1850,2.4607,2.0650,-0.1196,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_specsign_pts,adr_exfx_yoy,14,0.0322,0.9131,0.0638,0.8284,0.9138,2.1311,2.4607,2.0650,-0.0650,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_specsign_pts,adr_yoy,14,-0.0109,0.9705,0.1429,0.6261,0.9685,2.1415,2.4607,2.0650,-0.0755,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_specsign_pts,rev_beat_mid_pct,14,0.4482,0.1080,0.2247,0.4400,0.1106,2.0311,2.4607,2.0650,0.0325,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_specsign_pts,nights_accel,14,0.0300,0.9188,0.1912,0.5126,0.9168,2.1331,2.4607,2.0650,-0.0670,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,sm_cash_yoy_lag1,14,-0.5158,0.0590,-0.3187,0.2668,0.0579,2.8972,3.0591,3.0224,0.0811,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,sm_delev_pts_lag1,14,-0.6008,0.0231,-0.5165,0.0586,0.0232,2.7175,3.0591,3.0224,0.1916,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,sm_delev_trail2,14,-0.3625,0.2027,-0.2879,0.3182,0.2042,3.0787,3.0591,3.0224,-0.0376,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,ops_per_night_yoy_lag1,14,0.1863,0.5236,0.2747,0.3418,0.5298,3.2089,3.0591,3.0224,-0.1272,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,take_rate_chg_bps_lag1,14,0.2729,0.3451,0.3187,0.2668,0.3411,3.0448,3.0591,3.0224,-0.0149,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,sbc_pct_rev_chg_pts_lag1,14,-0.2770,0.3377,-0.2132,0.4643,0.3378,2.9970,3.0591,3.0224,0.0167,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,adr_exfx_yoy_lag1,14,-0.1975,0.4985,-0.1736,0.5528,0.5057,3.0731,3.0591,3.0224,-0.0338,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,fx_pts,14,0.0467,0.8740,0.1379,0.6384,0.8735,3.1043,3.0591,3.0224,-0.0550,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,hotel_cpi_q_yoy,14,0.1411,0.6305,0.3538,0.2145,0.6345,3.1693,3.0591,3.0224,-0.0996,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,pre_this_guide_mid_yoy,14,0.4630,0.0954,0.6571,0.0107,0.0970,2.8860,3.0591,3.0224,0.0882,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,pre_this_guide_width_pct,14,-0.1032,0.7256,-0.1503,0.6081,0.7482,3.0855,3.0591,3.0224,-0.0422,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,pre_prev_rev_beat_mid_pct,14,0.1934,0.5076,0.4361,0.1190,0.5057,3.1984,3.0591,3.0224,-0.1198,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_yoy_pts,pre_prev_streak_signed,14,0.1263,0.6669,0.1252,0.6699,0.6743,3.1581,3.0591,3.0224,-0.0918,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,sm_cash_yoy,14,-0.6219,0.0176,-0.4637,0.0949,0.0172,2.6643,3.0591,3.0224,0.2229,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,sm_delev_pts,14,-0.8189,0.0003,-0.7231,0.0035,0.0013,1.9618,3.0591,3.0224,0.5787,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,ops_per_night_yoy,14,-0.3914,0.1664,-0.3538,0.2145,0.1607,2.9853,3.0591,3.0224,0.0244,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,take_rate_chg_bps,14,0.5603,0.0372,0.6879,0.0065,0.0370,2.8435,3.0591,3.0224,0.1149,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,sbc_pct_rev_chg_pts,14,-0.3610,0.2047,-0.2484,0.3919,0.2022,3.0998,3.0591,3.0224,-0.0519,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,adr_exfx_yoy,14,0.1301,0.6574,0.1782,0.5421,0.6663,3.1327,3.0591,3.0224,-0.0743,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,adr_yoy,14,0.1148,0.6960,0.2000,0.4930,0.6911,3.0803,3.0591,3.0224,-0.0387,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,rev_beat_mid_pct,14,0.4142,0.1409,0.2115,0.4680,0.1403,3.0264,3.0591,3.0224,-0.0026,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,contemporaneous (in the print),surprise_yoy_pts,nights_accel,14,-0.0979,0.7392,-0.2484,0.3919,0.7382,3.2899,3.0591,3.0224,-0.1848,0.0000,0.0000,,,,,,,,,,,,,,,,,,
