market,target,date,source,url,status,exists,size,listings_local,note,region,quarter,downloaded,processed
london,2025-09-15,2025-09-14,local_listings,https://data.insideairbnb.com/united-kingdom/england/london/2025-09-14/data/calendar.csv.gz,206,True,81552188,True,,emea,3Q25,True,True
london,2025-12-15,2025-12-13,local_listings,https://data.insideairbnb.com/united-kingdom/england/london/2025-12-13/data/calendar.csv.gz,206,True,87038525,True,,emea,4Q25,True,True
london,2026-03-15,2026-03-21,local_listings,https://data.insideairbnb.com/united-kingdom/england/london/2026-03-21/data/calendar.csv.gz,206,True,48739362,True,,emea,1Q26,True,True
london,2026-06-15,2026-06-19,local_listings,https://data.insideairbnb.com/united-kingdom/england/london/2026-06-19/data/calendar.csv.gz,206,True,82435981,True,,emea,2Q26,True,True
london,2026-08-20,2026-08-18,local_listings,https://data.insideairbnb.com/united-kingdom/england/london/2026-08-18/data/calendar.csv.gz,206,True,82144423,True,,emea,3Q26,True,True
los-angeles,2025-09-15,2025-09-01,local_listings,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-09-01/data/calendar.csv.gz,206,True,40030151,True,,na,3Q25,True,True
los-angeles,2025-12-15,2025-12-04,local_listings,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-12-04/data/calendar.csv.gz,206,True,40666206,True,,na,4Q25,True,True
los-angeles,2026-03-15,2026-03-16,local_listings,https://data.insideairbnb.com/united-states/ca/los-angeles/2026-03-16/data/calendar.csv.gz,206,True,38882513,True,,na,1Q26,True,True
los-angeles,2026-06-15,2026-06-15,local_listings,https://data.insideairbnb.com/united-states/ca/los-angeles/2026-06-15/data/calendar.csv.gz,206,True,38449668,True,,na,2Q26,True,True
los-angeles,2026-08-20,2026-08-10,local_listings,https://data.insideairbnb.com/united-states/ca/los-angeles/2026-08-10/data/calendar.csv.gz,206,True,38379710,True,,na,3Q26,True,True
melbourne,2025-09-15,2025-09-12,local_listings,https://data.insideairbnb.com/australia/vic/melbourne/2025-09-12/data/calendar.csv.gz,206,True,21497054,True,,apac,3Q25,True,True
melbourne,2025-12-15,2025-12-12,cdn_probe,https://data.insideairbnb.com/australia/vic/melbourne/2025-12-12/data/calendar.csv.gz,206,True,23788689,False,,apac,4Q25,True,True
