window,draw,weight_0,weight_1,weight_2,weight_3,lambda_Q1,lambda_Q2,lambda_Q3,lambda_Q4
W1,48,0.4603685796461705,0.0,0.5396314203538295,4.5144614971716514e-20,0.10344887848871819,0.1525820887339597,0.17241944027085612,0.126129110145113
W1,49,0.6391627541828043,0.2274478563521237,0.1153210681927233,0.01806832127234872,0.10152406951200432,0.1346346972917642,0.17690661694768506,0.13019112896881366
W1,50,0.21479907179376082,0.412990797722348,0.3722097869629978,3.435208935066727e-07,0.11532784839184661,0.1415182022455138,0.17499456095297114,0.12324735122877635
W1,51,0.43489759005793627,5.643284105049992e-17,0.5651024099420636,0.0,0.1047759170844279,0.15306382080987002,0.17209216252891835,0.12602020881750448
W1,52,0.4032245063633704,0.0,0.5967754936366296,0.0,0.10436838367846842,0.15525406846685003,0.17193218894995674,0.12514231516319035
W1,53,0.41054709664272926,4.686008060292775e-18,0.5894529033572709,1.8511917613751297e-19,0.10482964210473866,0.1547856968068215,0.17203123575164583,0.12550491082888876
W1,54,0.0047906840276413605,0.0,0.9624404404464318,0.03276887552592684,0.11660600397693195,0.17579136768968104,0.16447794044107086,0.11743972430264542
W1,55,0.33725595533467895,0.05807692114590027,0.6046671235194209,3.1109826500346255e-17,0.10767948942043681,0.1554420856527043,0.17175149044274954,0.12442169510291841
W1,56,0.33725595533467895,0.05807692114590027,0.6046671235194209,3.1109826500346255e-17,0.10767948942043681,0.1554420856527043,0.17175149044274954,0.12442169510291841
W1,57,0.0047906840276413605,0.0,0.9624404404464318,0.03276887552592684,0.11660600397693195,0.17579136768968104,0.16447794044107086,0.11743972430264542
W1,58,0.4042918468325968,0.008933545147399864,0.5867746080200034,0.0,0.10493770094443304,0.15500486255099108,0.17216253706520934,0.12534064171883677
W1,59,0.412762023348576,1.0861356347698514e-17,0.587237976651424,0.0,0.10504520376525492,0.15465404389545842,0.17169014717947056,0.12547608779132563
W1,60,0.33725595533467895,0.05807692114590027,0.6046671235194209,3.1109826500346255e-17,0.10767948942043681,0.1554420856527043,0.17175149044274954,0.12442169510291841
W1,61,0.3016038457688482,0.17169130899744475,0.5267048452337072,0.0,0.1099556057495004,0.15049477041329395,0.1728490222948078,0.12423392896031486
W1,62,0.3016038457688482,0.17169130899744475,0.5267048452337072,0.0,0.1099556057495004,0.15049477041329395,0.1728490222948078,0.12423392896031486
W1,63,0.41054709664272926,4.686008060292775e-18,0.5894529033572709,1.8511917613751297e-19,0.10482964210473866,0.1547856968068215,0.17203123575164583,0.12550491082888876
W1,64,0.25,0.25,0.25,0.25,0.11207325049051668,0.14038314176245212,0.18406905055487052,0.12701664532650447
W1,65,0.43404965231931947,0.0,0.5659503476806806,4.618734962539816e-17,0.1041827089860876,0.15328386087927368,0.17205384019234854,0.12576401073708682
W1,66,0.3253602246598522,0.23621760047287443,0.43842217486727336,8.907949044741938e-17,0.10950616033107492,0.14623247767283165,0.17331890645292178,0.12454152019670332
W1,67,0.3016038457688482,0.17169130899744475,0.5267048452337072,0.0,0.1099556057495004,0.15049477041329395,0.1728490222948078,0.12423392896031486
W1,68,0.3417817549380928,0.20205906797307593,0.4561591770888313,0.0,0.10824733312357888,0.1473718418540005,0.1729158169923424,0.12462418955960466
W1,69,0.43404965231931947,0.0,0.5659503476806806,4.618734962539816e-17,0.1041827089860876,0.15328386087927368,0.17205384019234854,0.12576401073708682
W1,70,0.41054709664272926,4.686008060292775e-18,0.5894529033572709,1.8511917613751297e-19,0.10482964210473866,0.1547856968068215,0.17203123575164583,0.12550491082888876
W1,71,0.4603685796461705,0.0,0.5396314203538295,4.5144614971716514e-20,0.10344887848871819,0.1525820887339597,0.17241944027085612,0.126129110145113
W1,72,0.3016038457688482,0.17169130899744475,0.5267048452337072,0.0,0.1099556057495004,0.15049477041329395,0.1728490222948078,0.12423392896031486
W1,73,0.3427391826357362,2.0147601761543154e-18,0.6572608173642638,2.1964765532878693e-17,0.10703115652461057,0.15853928095735023,0.17075383162870525,0.12419335900111127
W1,74,0.21479907179376082,0.412990797722348,0.3722097869629978,3.435208935066727e-07,0.11532784839184661,0.1415182022455138,0.17499456095297114,0.12324735122877635
W1,75,0.4042918468325968,0.008933545147399864,0.5867746080200034,0.0,0.10493770094443304,0.15500486255099108,0.17216253706520934,0.12534064171883677
W1,76,0.4603685796461705,0.0,0.5396314203538295,4.5144614971716514e-20,0.10344887848871819,0.1525820887339597,0.17241944027085612,0.126129110145113
W1,77,0.4042918468325968,0.008933545147399864,0.5867746080200034,0.0,0.10493770094443304,0.15500486255099108,0.17216253706520934,0.12534064171883677
W1,78,0.22570001701249806,0.3557763435830533,0.41852363940444864,1.4823076576950256e-20,0.11566199665341033,0.1426490692072475,0.1732088816881099,0.12368380142126782
W1,79,0.33725595533467895,0.05807692114590027,0.6046671235194209,3.1109826500346255e-17,0.10767948942043681,0.1554420856527043,0.17175149044274954,0.12442169510291841
W1,80,0.4042918468325968,0.008933545147399864,0.5867746080200034,0.0,0.10493770094443304,0.15500486255099108,0.17216253706520934,0.12534064171883677
W1,81,0.43404965231931947,0.0,0.5659503476806806,4.618734962539816e-17,0.1041827089860876,0.15328386087927368,0.17205384019234854,0.12576401073708682
