quarter,region,share_p10,share_p50,share_p90,nights_p10,nights_p90,adr_p10,adr_p90
2024Q1,latam,13.27178217253095,14.420362727510472,15.45574407363875,17.598383160776038,20.494316641644982,122.07064785536092,176.78216053932474
2024Q1,apac,11.603725318644925,12.013719402739598,12.229924706170102,15.386539772523168,16.216880160381553,141.3709249009606,173.42384912805687
2024Q2,na,31.69135260283971,32.18599512044985,32.950980941693125,39.64588210615248,41.22167715805809,202.54624114951326,254.99919242758816
2024Q2,emea,40.73508422451192,41.03597049366468,42.78179033650781,50.95959036486441,53.52001971097127,160.82471979598645,195.6435444080832
2024Q2,latam,13.415728211370807,14.480022132551145,15.010550491539012,16.783075992424877,18.778198664915305,55.16569167132801,77.41106051649824
2024Q2,apac,11.690857268967953,11.9566202558003,12.085255124050304,14.62526244347891,15.118654160186932,85.64036604339299,102.80690826806314
2024Q3,na,30.575113674140365,31.66564196681707,32.231705838763745,37.54623959184437,39.58053477000188,166.830093080131,231.09192061380088
2024Q3,emea,39.092575859532296,39.827270052345476,40.94938862141712,48.005683155505665,50.28584922710023,192.7218400258227,249.93847252153185
2024Q3,latam,15.473722007010082,15.877028438394634,16.65436127432975,19.00173062460838,20.451555644876933,37.03851129466912,49.719068269154036
2024Q3,apac,12.56322506978158,12.709838481609031,12.938305947537925,15.427640385691781,15.888239703576573,63.66541016025556,76.03324688623294
2024Q4,na,28.581432287977748,29.47388999339885,30.658987091570246,31.725389839655296,34.031475671642966,196.60039339695618,257.2941591282048
2024Q4,emea,39.62236819934593,40.54097378371338,42.030699091721694,43.980828701273985,46.65407599181107,129.1343849899275,177.41798337651144
2024Q4,latam,16.224871232678915,16.92281362062989,18.09324404127396,18.009607068273596,20.083500885814097,74.61251671153065,102.317637488688
2024Q4,apac,12.790668339307395,13.033361175779268,13.254952802067873,14.19764185663121,14.71299761029534,122.1142055224761,143.1727934755952
2025Q1,na,28.991312314363665,29.766503935861806,31.179241468257686,41.4865679218544,44.617494541076745,229.72178948047872,277.1849884597845
2025Q1,emea,40.362467644880034,42.43350515286522,45.17694058510548,57.75869119982333,64.64820197728594,114.14843331055441,140.36936709812596
2025Q1,latam,12.27971773377031,15.501925266659459,16.928127415929893,17.572276077025315,24.224150332195677,126.56821087558228,174.32831764163598
2025Q1,apac,11.35587515038599,12.441754205399219,13.034297863906541,16.25025734020235,18.65208024325026,142.76409383165105,167.92999017324533
2025Q2,na,29.906810986349885,30.699450170697663,31.458354602130967,40.19475396565425,42.28002858526402,206.18206037603997,263.6499031987416
2025Q2,emea,40.287772387361194,40.73840417648812,43.19569475251979,54.14676608861345,58.0550137473866,174.43826200027922,209.70097522816877
2025Q2,latam,13.926104600724432,15.698000381913507,16.633246086307345,18.716684583373638,22.35508273999707,59.949230289703024,79.62850435043592
2025Q2,apac,11.63234286745289,12.848515636596266,13.120113668052822,15.633868813856685,17.633432769862992,91.44560929269733,107.77427265949673
2025Q3,na,29.620920198716448,30.267323373099696,31.201542767738044,39.57354938548517,41.68526113769802,174.10247519649667,232.22222227606602
2025Q3,emea,38.30419856019163,39.26467853166234,40.76672853946786,51.174409276416014,54.464349328729064,212.64030799251688,258.00044396733244
2025Q3,latam,15.897562251186475,17.285118429925603,18.002419676948662,21.23914316758513,24.051232688403417,39.68221259227378,53.22199435678227
2025Q3,apac,12.399285823799122,13.429203846839439,13.582974798759254,16.565445860595627,18.14685433114236,68.92747840056917,81.30388831832698
2025Q4,na,27.385588547017036,28.63155040277774,31.01061880069118,33.383032438813764,37.80194431804255,199.76431987793904,254.45240810487198
2025Q4,emea,39.137821225942936,39.98037429520893,41.018054457736305,47.70900407442444,50.001008383980555,145.2467214848235,190.49868284701606
2025Q4,latam,15.58072445672615,18.031132764412387,19.123439092448212,18.99290311274918,23.31147225369437,88.39058312148317,114.33516719117894
2025Q4,apac,12.56792262624118,13.643175935807616,13.877966538985264,15.320297681387999,16.91724121102304,132.17314720425867,150.30695415551264
2026Q1,na,28.20224657093828,29.10584801995089,30.5537812123585,44.05190914380559,47.72500625370397,236.7144974052761,293.4818477678187
2026Q1,emea,39.89862980667945,40.935811130205884,43.873446715608324,62.3216597580333,68.5303237697802,133.9746140333033,167.11060262514405
2026Q1,latam,13.389170798979979,16.714618091918037,17.75717586217935,20.913884788006726,27.736708696724143,143.99846536856256,196.35255976302383
2026Q1,apac,12.171955092855358,13.333856036714506,13.654227820629433,19.01259385504007,21.327903855823173,150.73997405637164,176.51172637956944
2026Q2,na,28.944436017831098,29.818493904245315,30.751591740182572,42.924598614443525,45.60461055069076,223.70218527578226,292.211853511297
2026Q2,emea,39.065264999800384,39.872965250727866,41.879316559213976,57.93378799470398,62.107026457314326,184.35078933954998,223.49315201380426
2026Q2,latam,15.015297425002553,17.229317367340563,17.728391823130092,22.267686081278786,26.291205073701928,62.62658572178961,84.81401770153505
2026Q2,apac,12.333872740339444,13.643192425478151,13.747572501582702,18.2911332739234,20.38765001984715,89.77933114436374,107.36165550425474
