quarter,year,season,vintage_date,actual_print_date,model,loss,point,actual,n_train,w,lambda_Q1_pct,lambda_Q2_pct,lambda_Q3_pct,lambda_Q4_pct,train_quarters,max_input_date,last_train_outcome_date,gbv_l1,gbv_l2,lag1_print_date,lag2_print_date,n_parameters,q10,q90,n_cal,evidence_status,info_set,variant,source_reference,error_musd,relative_error_pct,covered_80
2025Q1,2025,1,2025-02-13,2025-05-01,fixed_2_3_relative,relative,2412.09182484,2272,16,0.666666666667,13.085489104,13.9687116646,17.3587539243,12.0578503982,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4,2025-02-13,2025-02-13,17600,20100,2025-02-13,2024-11-07,4,2290.70028083,2533.48336885,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,140.09182484,6.16601341724,0
2025Q1,2025,1,2025-02-13,2025-05-01,K0_fixed_operational,inherited_K0_policy,2381.33778533,2272,2,0.666666666667,,,,,,2025-02-13,,,,,,,,,,frozen_operational_comparator_PIT_post_letter,K0 API as_of=guide_date+1; recorded source max date must remain <=guide date,ex_covid,,109.337785333,4.81240252345,
2025Q2,2025,2,2025-05-01,2025-08-06,free_w_usd,usd,3019.66749933,3096,17,0.810498455142,13.0416659319,13.0200512977,17.3258770226,12.1531281319,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1,2025-05-01,2025-05-01,24500,17600,2025-05-01,2025-02-13,5,2856.1090557,3183.22594296,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-76.3325006709,-2.46552004751,1
2025Q2,2025,2,2025-05-01,2025-08-06,fixed_2_3_usd,usd,3049.56987724,3096,17,0.666666666667,12.7716160638,13.7368012488,17.2731632452,12.0368693127,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1,2025-05-01,2025-05-01,24500,17600,2025-05-01,2025-02-13,4,2890.08543499,3209.05431949,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-46.4301227598,-1.4996809677,1
2025Q2,2025,2,2025-05-01,2025-08-06,free_w_relative,relative,3073.33068453,3096,17,0.77044434567,13.138370732,13.4112490622,17.3280762883,12.1528785623,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1,2025-05-01,2025-05-01,24500,17600,2025-05-01,2025-02-13,5,2883.26601945,3263.39534961,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-22.6693154681,-0.732213031915,1
2025Q2,2025,2,2025-05-01,2025-08-06,fixed_2_3_relative,relative,3101.05398954,3096,17,0.666666666667,12.9183801741,13.9687116646,17.3587539243,12.0578503982,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1,2025-05-01,2025-05-01,24500,17600,2025-05-01,2025-02-13,4,2920.94794721,3281.16003188,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,5.05398954315,0.163242556303,1
2025Q2,2025,2,2025-05-01,2025-08-06,K0_fixed_operational,inherited_K0_policy,3032.82979918,3096,3,0.666666666667,,,,,,2025-05-01,,,,,,,,,,frozen_operational_comparator_PIT_post_letter,K0 API as_of=guide_date+1; recorded source max date must remain <=guide date,ex_covid,,-63.170200815,-2.04038116328,
2025Q3,2025,3,2025-08-06,2025-11-06,free_w_usd,usd,4106.22581775,4095,18,0.790702516578,13.0039150116,13.2130476442,17.3190530872,12.1370154568,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,2025-08-06,2025-08-06,23500,24500,2025-08-06,2025-05-01,5,3883.81460722,4328.63702829,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,11.2258177545,0.2741347437,1
2025Q3,2025,3,2025-08-06,2025-11-06,fixed_2_3_usd,usd,4116.77057345,4095,18,0.666666666667,12.7716160638,13.8033833459,17.2731632452,12.0368693127,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,2025-08-06,2025-08-06,23500,24500,2025-08-06,2025-05-01,4,3901.47435621,4332.06679069,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,21.7705734488,0.531637935258,1
2025Q3,2025,3,2025-08-06,2025-11-06,free_w_relative,relative,4112.79958279,4095,18,0.766751271691,13.1304505467,13.4491193746,17.329273501,12.1494753495,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,2025-08-06,2025-08-06,23500,24500,2025-08-06,2025-05-01,5,3858.45081414,4367.14835144,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,17.79958279,0.434666246397,1
2025Q3,2025,3,2025-08-06,2025-11-06,fixed_2_3_relative,relative,4137.16968529,4095,18,0.666666666667,12.9183801741,13.9641396379,17.3587539243,12.0578503982,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,2025-08-06,2025-08-06,23500,24500,2025-08-06,2025-05-01,4,3896.88710362,4377.45226695,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,42.1696852886,1.02978474453,1
2025Q3,2025,3,2025-08-06,2025-11-06,K0_fixed_operational,inherited_K0_policy,4115.57186182,4095,2,0.666666666667,,,,,,2025-08-06,,,,,,,,,,frozen_operational_comparator_PIT_post_letter,K0 API as_of=guide_date+1; recorded source max date must remain <=guide date,ex_covid,,20.5718618192,0.50236536799,
2025Q4,2025,4,2025-11-06,2026-02-12,free_w_usd,usd,2794.77048798,2778,19,0.792035379382,13.0064508665,13.2069743807,17.3053237451,12.1380992,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3,2025-11-06,2025-11-06,22900,23500,2025-11-06,2025-08-06,5,2643.39345345,2946.14752251,8,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,16.7704879796,0.603689272123,1
