id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1095572087536191202,SKG Cityscape Metropolis,128968239,1462937173474769494,Konstantinos,,Thessaloniki,40.6377628,22.9384456,Entire home/apt,73,1,2,2026-03-06,0.07,15,348,1,00002428510
1096153106626591363,Futuristic oasis with patio next to train station,350279014,1469697734559116137,Innovation,,Thessaloniki,40.6468914,22.9233577,Entire home/apt,,1,18,2025-06-28,0.64,41,0,0,00003584650
1096158430593037068,Urban gem next to train/sub station with Netflix,350279014,1469697734559116137,Innovation,,Thessaloniki,40.6468914,22.9233577,Entire home/apt,55,2,44,2026-01-04,1.56,41,166,1,00002408449
1096327034324114856,"Hi speed wifi, city centre flat",484098385,1470179560584304629,Marinela,,Thessaloniki,40.63884729999999,22.9495863,Entire home/apt,78,1,63,2026-05-22,2.23,4,270,15,00002486284
1096849290346062673,F & B Collection - Flat for 3,31131449,1462653994722889142,Dimitris,,Thessaloniki,40.6453795,22.9492055,Entire home/apt,61,2,8,2025-12-14,0.30,37,365,4,00002423920
1096971306562975934,The Lux Apartment Vol.2,536084150,1470405364168904468,Χρίστος,,Thessaloniki,40.6108509,22.9575735,Entire home/apt,75,2,43,2026-06-14,1.54,2,304,13,00002480974
1097043253883084512,Skg Cityscape Metropolis 104,128968239,1462937173474769494,Konstantinos,,Thessaloniki,40.6377628,22.9384456,Entire home/apt,103,1,1,2024-04-01,0.04,15,344,0,00002428531
1097056629512383148,Cityscape Haven in Thessaloniki,562461455,1470510271184687576,Georgios,,Thessaloniki,40.63017,22.94901,Entire home/apt,115,2,24,2026-05-17,0.86,1,80,5,00002411944
1097187353270677125,"WeStay Studio #15, The Luxury Suites",280458084,1463373694936659886,The Luxury Suites,,Thessaloniki,40.64062,22.93871,Entire home/apt,35,2,16,2026-04-19,0.58,175,174,5,00002672507
1097195686851845300,"WeStay Studio #55, The Luxury Suites",280458084,1463373694936659886,The Luxury Suites,,Thessaloniki,40.64122,22.93903,Entire home/apt,39,1,32,2026-04-19,1.15,175,169,11,00002834590
1098514213329233846,Καμάρα ρετιρέ 47,73801336,1466909690483483139,Georgios,,Thessaloniki,40.63267,22.95116,Entire home/apt,49,2,65,2026-06-11,2.30,3,245,28,00003628748
1099143483756683661,Traditional house in Upper Town,30115133,1465443498276251240,Dimitrios,,Thessaloniki,40.64397,22.95222,Entire home/apt,58,3,75,2026-06-26,2.65,1,292,37,00003743047
1100572660724518052,Camelia: Comfy city apartment,251290631,1469331838051961663,Halu,,Thessaloniki,40.63389,22.94894,Entire home/apt,100,1,7,2026-06-11,0.26,79,340,4,00002548971
1100769382735484038,Bez Loft House #Skgbnb,564304396,1470515834020420551,Paulos,,Thessaloniki,40.6370621,22.940897,Entire home/apt,102,1,18,2026-04-13,0.64,1,300,7,00002486014
1100866026988539317,"Suite 305, Empyrean Luxury Suites",564324154,1470515888084442441,Empyrean Greece,,Thessaloniki,40.6410501,22.9352261,Entire home/apt,74,1,97,2026-06-10,3.46,5,219,69,00003444599
1101274383955629532,Eva's house,564421674,1470516157265059370,Ευα,,Thessaloniki,40.61817262339933,22.959791645407677,Entire home/apt,105,2,20,2025-10-19,0.88,1,326,7,00002665269
1101940808361484729,"Big Apple 5.12 | Apartment BLC, Nilie Hospitality",239769711,1469275350640488022,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63934,22.93869,Entire home/apt,68,1,3,2025-04-27,0.13,219,6,0,2665509
