,Cleanliness,Comfort,Facilities,Free WiFi,Location,Staff,Total,Value for money,highlights,hotel_name,lat,lng,stars,type,days,segment,fits,price_med,city,datecontrol,dist,metro_dist
868,9.4,9.3,9.1,9.4,9.8,9.4,,8.6,"['“excellent location”\n5 related reviews', '“walking distance”\n4 related reviews', '“excellent rooms”\n3 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.8', 'Good breakfast included with all options', 'Continental', 'Fantastic coffee!', 'View', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!']",Hotel Hôtel Le Relais Saint-Germain,48.851904,2.3387535,4-star hotel,'Hotels',weekdays,Hotels,2,859.353155000466,paris,2019-07-16&checkout=2019-07-18&,1.1499437478246315,0.010915361079347702
869,8.1,7.9,7.5,7.8,9.2,8.1,,7.3,"['“convenient location”\n10 related reviews', '“helpful staff”\n7 related reviews', '“comfortable bed”\n4 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.2', 'Good breakfast included with all options', 'Continental, Asian, American, Buffet', 'Good coffee!', 'View', 'City view', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hotel Millennium Hotel Paris Opera,48.8724778,2.3378885,4-star hotel,'Hotels',weekdays,Hotels,2,845.6053686270855,paris,2019-07-16&checkout=2019-07-18&,2.0774757739944145,0.079514695712181
870,9.2,8.9,8.6,8.8,9.1,9.0,,8.2,"['“friendly staff”\n21 related reviews', '“comfy bed”\n13 related reviews', '“walking distance”\n12 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.1', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, Full English/Irish', 'Very good coffee!', 'City view', 'View', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Les Matins de Paris & Spa,48.87892720000001,2.3394274,4-star hotel,'Hotels',weekdays,Hotels,2,448.4341504334048,paris,2019-07-16&checkout=2019-07-18&,2.6707205373166114,0.15596536028487315
871,8.9,8.4,8.1,8.8,9.7,9.2,,8.2,"['“friendly staff”\n24 related reviews', '“perfect location”\n17 related reviews', '“walking distance”\n8 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.7', 'Continental, Buffet', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!', 'There are more repeat guests here than most other properties.']",Hotel Hotel De Seine,48.8543351,2.3368303,3-star hotel,'Hotels',weekdays,Hotels,2,402.06449808929074,paris,2019-07-16&checkout=2019-07-18&,1.1935872128166147,0.20721876538328532
872,8.6,8.4,8.2,8.7,9.5,8.7,,7.5,"['“helpful staff”\n6 related reviews', '“excellent location”\n4 related reviews', '“comfortable bed”\n2 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.5', 'Great Food: Meals here are highly recommended', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Buffet', 'Good coffee!', 'View', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hotel Lumen Paris Louvre,48.86516029999999,2.3330832999999997,4-star hotel,'Hotels',weekdays,Hotels,2,931.5872867928045,paris,2019-07-16&checkout=2019-07-18&,1.7299201691083403,0.1415826889473971
873,8.0,7.3,7.2,7.8,7.3,8.4,,7.6,"['“friendly staff”\n8 related reviews', '“metro station”\n7 related reviews', '“comfortable bed”\n6 related reviews', 'Buffet', 'Good coffee!', 'Free WiFi']",Hotel Art Hôtel Congrès,48.8929382,2.3215324,3-star hotel,'Hotels',weekdays,Hotels,2,215.0713020784789,paris,2019-07-16&checkout=2019-07-18&,4.646154727712014,0.2689911212666851
874,8.9,8.0,8.1,8.9,8.6,9.0,,8.1,"['“friendly staff”\n30 related reviews', '“metro station”\n24 related reviews', '“decent breakfast”\n17 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.6', 'Continental, Gluten-free, Buffet', 'Good coffee!', 'Balcony, City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Jack's Hotel,48.832987200000005,2.3592937999999997,3-star hotel,'Hotels',weekdays,Hotels,2,243.26591481032716,paris,2019-07-16&checkout=2019-07-18&,2.664937209812379,0.24150452492395288
875,9.6,9.2,9.0,9.2,9.6,9.6,,8.6,"['“friendly staff”\n36 related reviews', '“excellent location”\n24 related reviews', '“clean room”\n24 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.6', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, Buffet', 'Fantastic coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Best Western Plus Hotel Sydney Opera,48.8733058,2.3239841,3-star hotel,'Hotels',weekdays,Hotels,2,486.2988162922919,paris,2019-07-16&checkout=2019-07-18&,2.8129120796564813,0.1808684835854068
876,7.5,7.0,6.8,7.8,7.8,8.3,,7.4,"['“friendly staff”\n24 related reviews', '“comfortable beds”\n17 related reviews', '“metro station”\n11 related reviews', 'This hotel is situated in the real heart of Paris', 'Free WiFi', 'Great area for shopping!']",Hotel HOTEL LUCIEN,48.8689213,2.3515962000000004,2-star hotel,'Hotels',weekdays,Hotels,2,252.81946127318483,paris,2019-07-16&checkout=2019-07-18&,1.3759891734439917,0.1902540808604757
877,8.7,8.3,7.8,7.3,8.6,8.8,,7.9,"['“gare du”\n70 related reviews', '“friendly staff”\n30 related reviews', '“comfortable bed”\n27 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.6', 'Continental', 'Good coffee!', 'Free WiFi', 'Great area for shopping!']",Hotel Hotel Habituel,48.8797226,2.3575104,4-star hotel,'Hotels',weekdays,Hotels,2,270.8779942212695,paris,2019-07-16&checkout=2019-07-18&,2.5977271913736426,0.2060227953987475
