market,dimension,bucket,listings,reviews_ltm,reviews_per_listing,median_price,supply_share,demand_share,demand_index,guest_stay_share,guest_stay_index,revenue_share,revenue_index,median_price_per_guest
it_bergamo,accommodates,5-6 guests,697,6840,9.81348637015782,140.6,0.2390260631001372,0.20224719101123595,0.8461302854932051,0.2801275301275301,1.1719539137042723,0.23738366757908397,0.9931288015216769,26.0
it_bergamo,accommodates,7+ guests,235,2065,8.787234042553191,206.0,0.08058984910836763,0.06105854523950325,0.757645608163368,0.12986281736281735,1.6114041507658527,0.11979182252467968,1.4864381041785786,25.085625
it_bergamo,bedrooms,0-1 br,1747,22926,13.12306811677161,116.0,0.5991083676268861,0.6778829095209935,1.1314862988913663,0.551531239031239,0.9205867733343406,0.5822529223230559,0.9718657821946372,36.0
it_bergamo,bedrooms,2 br,901,8717,9.67480577136515,143.265,0.3089849108367627,0.25774689532820816,0.8341730818835238,0.3246095121095121,1.0505675219881656,0.29502145572415595,0.9548086180817299,29.81625
it_bergamo,bedrooms,3 br,225,1777,7.897777777777778,194.0,0.07716049382716049,0.05254287403903016,0.6809556475458309,0.08997308997308998,1.1660512460512462,0.0832556360738179,1.0789930435166801,28.95
it_bergamo,bedrooms,4+ br,43,400,9.30232558139535,370.2,0.014746227709190672,0.011827321111768185,0.8020574037654891,0.03388615888615889,2.2979544026055656,0.03946998587897026,2.6766157865831923,37.416666666666664
it_milan,accommodates,1-2 guests,6051,91778,15.167410345397455,117.0,0.3167399497487437,0.3176061017136846,1.0027345838932789,0.1717008721818652,0.5420878304680802,0.22912605826485646,0.7233885666983669,59.5
it_milan,accommodates,3-4 guests,9721,140545,14.457874704248534,141.8,0.5088463149078727,0.4863687328700756,0.9558263833710445,0.4987159414157087,0.9800914869669477,0.4649851564109196,0.9138027392319934,37.9725
it_milan,accommodates,5-6 guests,2640,44139,16.71931818181818,190.58,0.13819095477386933,0.15274701697073725,1.1053329591700625,0.23209347156593083,1.6795127578770996,0.21414319137404553,1.5496180030340023,34.0
it_milan,accommodates,7+ guests,692,12506,18.072254335260116,277.0,0.03622278056951424,0.043278148445502616,1.1947770923452052,0.09748971483649528,2.69139235872313,0.09174559395017845,2.532814778647701,33.78
it_milan,bedrooms,0-1 br,14369,215949,15.028812025889067,129.0,0.7521461474036851,0.7473111209545694,0.9935716928607484,0.6232785574911254,0.8286668217906924,0.6203835855608024,0.8248178730985851,44.75
