gap_days,months_before_early_dump,n_pairs,median_ratio,mean_ratio,pooled_ratio,den
60,5,6,0.9669885737205117,0.9722624344646816,0.9665618015914818,140498
60,6,6,0.9679985749004592,0.9725966918831505,0.9654466634455361,149016
60,7,6,0.9702588234800442,0.9732580204032074,0.9680307822741057,153335
60,8,6,0.9706505661922227,0.9728885210955883,0.9691770016746354,164812
61,-1,1,165.58333333333334,165.58333333333334,165.58333333333334,204
61,0,2,1.8924623477572489,1.8924623477572489,1.3959945196647325,24816
61,1,2,0.9842720409767176,0.9842720409767176,0.9830997526793075,29112
61,2,2,0.9824661127940093,0.9824661127940093,0.9829907866761163,18343
61,3,2,0.9837615999752334,0.9837615999752334,0.9867148351008042,8581
61,4,2,0.9802653978060669,0.9802653978060669,0.9863383369876877,5929
61,5,2,0.9855357810913365,0.9855357810913365,0.9872224884203802,6261
61,6,2,0.9796226810510832,0.9796226810510832,0.9856517142425616,6621
61,7,2,0.9816852996270378,0.9816852996270378,0.9836813876526304,8763
61,8,2,0.9842810964245265,0.9842810964245265,0.9839255127585752,22769
62,-1,32,1809.25,2673.7364063071664,371.5365025466893,1178
62,0,44,1.2617699340669608,1.2873460332626374,1.266942731921521,355713
62,1,44,0.9750762753816706,0.9690212578601762,0.9729641680462898,488056
62,2,44,0.9756170042049895,0.970519720241262,0.9743507875691784,422820
62,3,44,0.9760549483910139,0.9720426380854142,0.973592103457831,371707
62,4,44,0.9769201313282141,0.9722771469047872,0.9741229426519603,291030
62,5,44,0.9749373759172403,0.9720469624064481,0.9740517453798768,304375
62,6,44,0.9740339835393291,0.972295793299275,0.9743872059449225,307893
62,7,44,0.9780114960025414,0.9744378141330771,0.9762727599425012,333920
62,8,44,0.9769752867094699,0.9743087361146316,0.9776058562142709,408455
63,-1,13,2198.2,4652.212742812742,4354.767441860465,43
63,0,21,1.3559795253606328,1.372847054782495,1.3938861092983346,165492
63,1,21,0.9755204758636468,0.9717975989328393,0.9776958237678492,243497
63,2,21,0.9762247838616714,0.9732544992321291,0.9780096284554721,203771
63,3,21,0.9804027675775966,0.9770551601287465,0.9805072832594101,165036
63,4,21,0.9736129905277402,0.9760743593674865,0.9795467617623375,130395
63,5,21,0.9803220035778175,0.9789445620142219,0.983730841734284,122010
63,6,21,0.976061776061776,0.978700216326124,0.9842806224607639,120361
63,7,21,0.9762516046213093,0.980364832703553,0.9854855967650042,143926
63,8,21,0.9813299971128862,0.9811265882820511,0.9860091446103579,200774
64,-1,11,3456.0,4396.296848739496,2171.964705882353,85
64,0,13,1.709794901284263,1.836158762879714,1.7818214494316396,111285
64,1,13,0.9763747689463955,0.9700924281090667,0.9705533986971113,212758
64,2,13,0.9791938642297651,0.9728092104126151,0.9721683535177972,178933
64,3,13,0.9790593505039193,0.9753196017374606,0.9715220776478661,151556
64,4,13,0.980269489894129,0.9742700972635687,0.9718733266320329,106447
64,5,13,0.9788157894736842,0.9733285105637753,0.971543119115243,109499
64,6,13,0.9716834755624515,0.972747634670793,0.9704121605489578,113087
64,7,13,0.973323793949305,0.9743230332156957,0.9716968808511256,137794
64,8,13,0.976479578840112,0.9747490879196347,0.9750190777281151,183460
65,-1,3,1627.111111111111,10476.814814814816,2849.3684210526317,19
65,0,7,1.9752694990488269,2.0997460129677554,2.380695323780962,45015
65,1,7,0.9677166724678037,0.9652942926326146,0.9563035110512172,123923
65,2,7,0.9644984234497256,0.9638242440600905,0.9592039616102868,107633
65,3,7,0.9694201747418586,0.9662679598096631,0.9592838966025269,111995
65,4,7,0.9700554528650647,0.9668518810729295,0.9610818802452494,91988
65,5,7,0.9656806667756169,0.9659246913119783,0.962769381006281,90114
65,6,7,0.9681818181818181,0.9647711306909607,0.9618379884440588,87574
65,7,7,0.9683343888537049,0.966932124890833,0.9608081841432226,97750
65,8,7,0.9688877797188253,0.9671096936436102,0.9641180638589965,90324
66,-1,2,374.6927648578811,374.6927648578811,390.9367816091954,174
66,0,2,1.9143250627737034,1.9143250627737034,1.8819442751627136,41023
66,1,2,0.9607184590888191,0.9607184590888191,0.9761825927642761,90606
66,2,2,0.964899774129631,0.964899774129631,0.9779530182706725,72028
66,3,2,0.9652324203187832,0.9652324203187832,0.9782338852077833,57199
66,4,2,0.9661085354000912,0.9661085354000912,0.9781311142482106,40377
66,5,2,0.9643921484525234,0.9643921484525234,0.9759100235580211,39477
66,6,2,0.9650070464085552,0.9650070464085552,0.970880975715997,45915
66,7,2,0.959615036195838,0.959615036195838,0.9736121777830291,50781
66,8,2,0.9581697973102252,0.9581697973102252,0.975429443949612,78590
67,0,1,1.3601174096496056,1.3601174096496056,1.3601174096496056,27255
