vintage_date,line,spec,n_obs,g,b,b_imposed,c_mix,flags,c_event_E02_cor_cash,c_event_E09_cor_cash,c_event_E05_ops_cash,c_event_E10_pd_cash
2022-02-15,ga,a_unit_eq,4,-0.05817846483486999,,True,,added_2021_obs,,,,
2022-05-03,cor,a_unit_eq,5,-0.3749345825895268,1.0,True,,added_2021_obs,,,,
2022-05-03,ops,a_unit_eq,5,-0.357455518619368,1.0,True,,added_2021_obs,,,,
2022-05-03,pd,a_unit_eq,5,0.03078617260692478,,True,,added_2021_obs,,,,
2022-05-03,sm,a_unit_eq,5,0.46593451428577115,0.0,True,,added_2021_obs,,,,
2022-05-03,ga,a_unit_eq,5,-0.011728162849591925,,True,,added_2021_obs,,,,
2022-08-02,cor,a_unit_eq,6,-0.3052069306974055,1.0,True,,added_2021_obs,,,,
2022-08-02,ops,a_unit_eq,6,-0.2982125991772024,1.0,True,,added_2021_obs,,,,
2022-08-02,pd,a_unit_eq,6,0.044170937927318,,True,,added_2021_obs,,,,
2022-08-02,sm,a_unit_eq,6,0.4188426034199524,0.0,True,,added_2021_obs,,,,
2022-08-02,ga,a_unit_eq,6,0.007465456307835164,,True,,added_2021_obs,,,,
2022-11-01,cor,a_unit_eq,7,-0.2641853280061815,1.0,True,,added_2021_obs,,,,
2022-11-01,ops,a_unit_eq,7,-0.25587416141403124,1.0,True,,added_2021_obs,,,,
2022-11-01,pd,a_unit_eq,7,0.04891316795398791,,True,,added_2021_obs,,,,
2022-11-01,sm,a_unit_eq,7,0.4002499627717844,0.0,True,,added_2021_obs,,,,
2022-11-01,ga,a_unit_eq,7,0.02072860694929862,,True,,added_2021_obs,,,,
2023-02-14,cor,a_unit_eq,4,-0.03908071115684286,1.0,True,,,,,,
2023-02-14,ops,a_unit_eq,4,-0.06980495261294128,1.0,True,,,,,,
2023-02-14,pd,a_unit_eq,4,0.0824796672769351,,True,,,,,,
2023-02-14,sm,a_unit_eq,4,0.2683983523273381,0.0,True,,,,,,
2023-02-14,ga,a_unit_eq,4,0.1544267495206454,,True,,,,,,
2023-05-09,cor,a_unit_eq,5,-0.032237778632631706,1.0,True,,,,,,
2023-05-09,ops,a_unit_eq,5,-0.05244622806890907,1.0,True,,,,,,
2023-05-09,pd,a_unit_eq,5,0.08611422756807488,,True,,,,,,
2023-05-09,sm,a_unit_eq,5,0.2679361894552085,0.0,True,,,,,,
2023-05-09,ga,a_unit_eq,5,0.14984837618921146,,True,,,,,,
2023-08-03,cor,a_unit_eq,6,-0.029276559397321135,1.0,True,,,,,,
2023-08-03,ops,a_unit_eq,6,-0.026030349350874733,1.0,True,,,,,,
2023-08-03,pd,a_unit_eq,6,0.09211009133604255,,True,,,,,,
2023-08-03,sm,a_unit_eq,6,0.265222095876587,0.0,True,,,,,,
2023-08-03,ga,a_unit_eq,6,0.15224150773726106,,True,,,,,,
2023-11-01,cor,a_unit_eq,7,-0.028653174468388366,1.0,True,,,,,,
2023-11-01,ops,a_unit_eq,7,-0.02649325934401154,1.0,True,,,,,,
2023-11-01,pd,a_unit_eq,7,0.08722083445789429,,True,,,,,,
2023-11-01,sm,a_unit_eq,7,0.23262141140907058,0.0,True,,,,,,
2023-11-01,ga,a_unit_eq,7,0.145883301971663,,True,,,,,,
2024-02-13,cor,a_unit_eq,8,-0.028953053025396074,1.0,True,,,,,,
2024-02-13,ops,a_unit_eq,8,-0.031833829183896135,1.0,True,,,,,,
2024-02-13,pd,a_unit_eq,8,0.07831030418350902,,True,,,,,,
2024-02-13,sm,a_unit_eq,8,0.20977044819696394,0.0,True,,,,,,
2024-02-13,ga,a_unit_eq,8,0.13559677707289647,,True,,,,,,
2024-05-08,cor,a_unit_eq,9,-0.025840391732561342,1.0,True,,,,,,
2024-05-08,ops,a_unit_eq,9,-0.0387937122536039,1.0,True,,,,,,
2024-05-08,pd,a_unit_eq,9,0.07713828172987679,,True,,,,,,
2024-05-08,sm,a_unit_eq,9,0.2005398743278463,0.0,True,,,,,,
2024-05-08,ga,a_unit_eq,9,0.13774139555518458,,True,,,,,,
2024-08-06,cor,a_unit_eq,10,-0.017876529117507957,1.0,True,,,,,,
2024-08-06,ops,a_unit_eq,10,-0.03801560126246149,1.0,True,,,,,,
2024-08-06,pd,a_unit_eq,10,0.07683525077226129,,True,,,,,,
2024-08-06,sm,a_unit_eq,10,0.19628118347276127,0.0,True,,,,,,
2024-08-06,ga,a_unit_eq,10,0.1339538556336847,,True,,,,,,
2024-11-07,cor,a_unit_eq,11,-0.02359971371508393,1.0,True,,,,,,
2024-11-07,ops,a_unit_eq,11,-0.028425059637491028,1.0,True,,,,,,
2024-11-07,pd,a_unit_eq,11,0.0867967317970993,,True,,,,,,
2024-11-07,sm,a_unit_eq,11,0.2003788111914327,0.0,True,,,,,,
2024-11-07,ga,a_unit_eq,11,0.1253071263321009,,True,,,,,,
2025-02-13,cor,a_unit_eq,12,-0.023376189028660902,1.0,True,,,,,,
2025-02-13,ops,a_unit_eq,12,-0.03222605780026901,1.0,True,,,,,,
2025-02-13,pd,a_unit_eq,12,0.0954133052494128,,True,,,,,,
2025-02-13,sm,a_unit_eq,12,0.20433878868377173,0.0,True,,,,,,
2025-02-13,ga,a_unit_eq,12,0.12058793795411085,,True,,,,,,
2025-05-01,cor,a_unit_eq,13,-0.022715377688376094,1.0,True,,,,,,
2025-05-01,ops,a_unit_eq,13,-0.031116041558265917,1.0,True,,,,,,
2025-05-01,pd,a_unit_eq,13,0.09985574119195786,,True,,,,,,
2025-05-01,sm,a_unit_eq,13,0.1947899038430948,0.0,True,,,,,,
2025-05-01,ga,a_unit_eq,13,0.11534376908718233,,True,,,,,,
2025-08-06,cor,a_unit_eq,14,-0.02327761227518274,1.0,True,,,,,,
2025-08-06,ops,a_unit_eq,14,-0.03516194713458201,1.0,True,,,,,,
2025-08-06,pd,a_unit_eq,14,0.10467524340737609,,True,,,,,,
2025-08-06,sm,a_unit_eq,14,0.19464090398545753,0.0,True,,,,,,
2025-08-06,ga,a_unit_eq,14,0.10769282123356323,,True,,,,,,
2025-11-06,cor,a_unit_eq,15,-0.019349508761703205,1.0,True,,,,,,
2025-11-06,ops,a_unit_eq,15,-0.039210322536971404,1.0,True,,,,,,
2025-11-06,pd,a_unit_eq,15,0.1060010753563352,,True,,,,,,
2025-11-06,sm,a_unit_eq,15,0.19611509393412296,0.0,True,,,,,,
2025-11-06,ga,a_unit_eq,15,0.11397787009650914,,True,,,,,,
2026-02-12,cor,a_unit_eq,16,-0.019149907523602978,1.0,True,,,,,,
2026-02-12,ops,a_unit_eq,16,-0.034238918356644756,1.0,True,,,,,,
2026-02-12,pd,a_unit_eq,16,0.10503509751360715,,True,,,,,,
2026-02-12,sm,a_unit_eq,16,0.1984744206294473,0.0,True,,,,,,
2026-02-12,ga,a_unit_eq,16,0.11537256961718059,,True,,,,,,
2026-05-07,cor,a_unit_eq,17,-0.020216472031573923,1.0,True,,,,,,
2026-05-07,ops,a_unit_eq,17,-0.033541944161102004,1.0,True,,,,,,
2026-05-07,pd,a_unit_eq,17,0.10496715827677092,,True,,,,,,
2026-05-07,sm,a_unit_eq,17,0.20406097101409917,0.0,True,,,,,,
2026-05-07,ga,a_unit_eq,17,0.10628885876488325,,True,,,,,,
2026-08-06,cor,a_unit_eq,18,-0.018798633411131187,1.0,True,,,,,,
2026-08-06,ops,a_unit_eq,18,-0.03468437919270336,1.0,True,,,,,,
2026-08-06,pd,a_unit_eq,18,0.10592106181903194,,True,,,,,,
2026-08-06,sm,a_unit_eq,18,0.20576078396573594,0.0,True,,,,,,
