row,col,head,new,diff
13,phi_4,0.3245235668400653,0.3245202253314211,3.341508644172375e-06
14,phi_4,0.0777146690563326,0.0777156961658561,1.0271095234881678e-06
15,phi_4,1.3349400959665264e-08,6.785015242134516e-10,1.2670899435451812e-08
18,phi_4,1.1204630150391929e-08,1.8813184284705456e-08,7.608554134313527e-09
19,phi_4,1.3151757670328808e-08,1.2830477760051886e-08,3.2127991027692163e-10
20,phi_4,1.5754313697857955e-08,1.0251598437623351e-08,5.502715260234604e-09
21,phi_4,1.3639928455202254e-08,3.402146023433667e-08,2.038153177913442e-08
22,phi_4,0.3223488196516382,0.3223487047106597,1.1494097851283414e-07
23,phi_4,1.28446139628934e-09,6.719667892645967e-10,6.124946070247432e-10
24,phi_4,3.4780768323915733e-09,3.0619012664945e-09,4.1617556589707334e-10
0,phi_1_plus_2,0.6366873690579905,0.6366870965895849,2.724684056154558e-07
1,phi_1_plus_2,0.4678960822355333,0.4678958427708863,2.3946464700053127e-07
2,phi_1_plus_2,0.6296662266322898,0.6296654640550771,7.625772127095587e-07
3,phi_1_plus_2,0.79004194253078,0.7900574749911669,1.5532460386880054e-05
4,phi_1_plus_2,0.5733335058138885,0.5733375053817737,3.999567885215605e-06
5,phi_1_plus_2,0.4859790645762897,0.4859786521585411,4.124177486186653e-07
6,phi_1_plus_2,0.7900429710783557,0.7900507727453056,7.801666949802666e-06
9,phi_1_plus_2,0.5838020315067562,0.5837997608767795,2.2706299767083493e-06
10,phi_1_plus_2,0.6482258091922124,0.6482263388131546,5.296209422134268e-07
11,phi_1_plus_2,0.6296651136162744,0.6296653566241633,2.430078889226195e-07
12,phi_1_plus_2,0.6152191117350398,0.6152191946375272,8.290248731945837e-08
13,phi_1_plus_2,0.5411658342749326,0.5411640308809174,1.803394015231774e-06
14,phi_1_plus_2,0.4986934175483327,0.498694495518568,1.0779702352969878e-06
15,phi_1_plus_2,0.6152189001564873,0.6152189516053498,5.1448862503633563e-08
18,phi_1_plus_2,0.6100963015138529,0.6100961599977393,1.4151611360535554e-07
19,phi_1_plus_2,0.6482259889940546,0.648226301144641,3.1215058637901194e-07
20,phi_1_plus_2,0.3740944033630628,0.3740946653836365,2.6202057368251985e-07
21,phi_1_plus_2,0.6152192101182516,0.6152195176243913,3.075061396629053e-07
22,phi_1_plus_2,0.663906796368001,0.6639072573825032,4.6101450223989815e-07
23,phi_1_plus_2,0.6039007256184858,0.6039010353263641,3.0970787823214607e-07
24,phi_1_plus_2,0.6152192818046692,0.6152188904010999,3.9140356933309306e-07
0,mean_lag_q,0.7713125405397321,0.7713122488090848,2.9173064730603215e-07
1,mean_lag_q,0.8837346900056415,0.883734638268223,5.1737418571562444e-08
2,mean_lag_q,1.2973267049943376,1.2973266556414151,4.935292241547984e-08
3,mean_lag_q,1.4379998358404216,1.4380349052511756,3.5069410754040575e-05
4,mean_lag_q,0.8707384929236321,0.8707378612212039,6.317024282553874e-07
5,mean_lag_q,1.0397085773860917,1.0397082162977196,3.610883720917002e-07
6,mean_lag_q,1.438000984057915,1.4380201172384095,1.9133180494401714e-05
9,mean_lag_q,1.2505937792617006,1.250593012203937,7.670577635288112e-07
10,mean_lag_q,1.2964517679104537,1.296452723815066,9.559046123541748e-07
11,mean_lag_q,1.2973271571639755,1.2973276987921438,5.416281683157109e-07
12,mean_lag_q,1.2304377953049852,1.2304380284736447,2.3316865949141174e-07
13,mean_lag_q,2.4476220930128987,2.447610310329795,1.1782683103866987e-05
14,mean_lag_q,1.3144233574111468,1.3144250322279245,1.674816777708088e-06
15,mean_lag_q,1.2304376761455351,1.2304379059681136,2.2982257852355303e-07
18,mean_lag_q,1.1789540474928255,1.1789540133694136,3.412341187392087e-08
19,mean_lag_q,1.2964520546878575,1.2964526520073594,5.973195018604827e-07
20,mean_lag_q,0.7481888756144024,0.7481893883094575,5.12695055077117e-07
21,mean_lag_q,1.2304377344770123,1.230438258447884,5.239708715798486e-07
22,mean_lag_q,2.4940042404143465,2.4940040632638523,1.7715049427380336e-07
23,mean_lag_q,1.1639962280446057,1.1639958420172165,3.860273891653776e-07
24,mean_lag_q,1.2304384544189058,1.23043766579351,7.886253956534972e-07
0,c_Q1,11.227570084376715,11.22756890200201,1.1823747048111954e-06
1,c_Q1,10.233838622394387,10.233837519800987,1.102593399693319e-06
2,c_Q1,10.233838622394387,10.233837519800987,1.102593399693319e-06
3,c_Q1,10.233838622394387,10.233837519800987,1.102593399693319e-06
4,c_Q1,10.233838622394387,10.233837519800987,1.102593399693319e-06
5,c_Q1,10.455981277432176,10.455979853052453,1.4243797235025113e-06
6,c_Q1,10.455981277432176,10.455979853052453,1.4243797235025113e-06
9,c_Q1,10.670007490121714,10.670003869831584,3.6202901299020596e-06
10,c_Q1,10.604711942801398,10.604713234086573,1.291285174787049e-06
11,c_Q1,10.604711942801398,10.604713234086573,1.291285174787049e-06
12,c_Q1,10.604711942801398,10.604713234086573,1.291285174787049e-06
13,c_Q1,10.604711942801398,10.604713234086573,1.291285174787049e-06
14,c_Q1,10.532116630660605,10.53211909762731,2.466966705583218e-06
15,c_Q1,10.532116630660605,10.53211909762731,2.466966705583218e-06
18,c_Q1,10.55966200470653,10.55966136996654,6.347399903461337e-07
19,c_Q1,10.604712369046135,10.604713153346548,7.843004130592135e-07
20,c_Q1,10.604712369046135,10.604713153346548,7.843004130592135e-07
21,c_Q1,10.604712369046135,10.604713153346548,7.843004130592135e-07
22,c_Q1,10.604712369046135,10.604713153346548,7.843004130592135e-07
23,c_Q1,10.547207878851104,10.54720991599618,2.0371450766276666e-06
24,c_Q1,10.547207878851104,10.54720991599618,2.0371450766276666e-06
0,c_Q2,13.080881155493524,13.080881271617534,1.1612400996341421e-07
1,c_Q2,15.068466708180562,15.068472452511116,5.744330554335875e-06
2,c_Q2,15.068466708180562,15.068472452511116,5.744330554335875e-06
3,c_Q2,15.068466708180562,15.068472452511116,5.744330554335875e-06
4,c_Q2,15.068466708180562,15.068472452511116,5.744330554335875e-06
5,c_Q2,14.583004514889966,14.583004642767936,1.2787796954683017e-07
6,c_Q2,14.583004514889966,14.583004642767936,1.2787796954683017e-07
9,c_Q2,14.892477420761807,14.89247535642782,2.0643339873060995e-06
10,c_Q2,15.068470930560892,15.06846713058614,3.799974752638491e-06
11,c_Q2,15.068470930560892,15.06846713058614,3.799974752638491e-06
12,c_Q2,15.068470930560892,15.06846713058614,3.799974752638491e-06
13,c_Q2,15.068470930560892,15.06846713058614,3.799974752638491e-06
14,c_Q2,14.783765812984225,14.783765306117076,5.068671491414989e-07
15,c_Q2,14.783765812984225,14.783765306117076,5.068671491414989e-07
18,c_Q2,15.385047832651178,15.38504851629872,6.836475421323485e-07
19,c_Q2,14.547133404961867,14.547134544579317,1.1396174492972477e-06
20,c_Q2,14.547133404961867,14.547134544579317,1.1396174492972477e-06
21,c_Q2,14.547133404961867,14.547134544579317,1.1396174492972477e-06
22,c_Q2,14.547133404961867,14.547134544579317,1.1396174492972477e-06
23,c_Q2,15.340039439220718,15.340034929067842,4.5101528751700926e-06
24,c_Q2,15.340039439220718,15.340034929067842,4.5101528751700926e-06
0,c_Q3,17.709567686363904,17.709567990931344,3.0456743971285505e-07
1,c_Q3,18.006352748972496,18.006349253955566,3.495016930088468e-06
2,c_Q3,18.006352748972496,18.006349253955566,3.495016930088468e-06
3,c_Q3,18.006352748972496,18.006349253955566,3.495016930088468e-06
4,c_Q3,18.006352748972496,18.006349253955566,3.495016930088468e-06
5,c_Q3,18.006351392107543,18.006351100109484,2.9199805950952396e-07
6,c_Q3,18.006351392107543,18.006351100109484,2.9199805950952396e-07
9,c_Q3,17.48329346342353,17.48330369572545,1.0232301921320186e-05
10,c_Q3,17.193900813883722,17.193900553295205,2.605885178752487e-07
11,c_Q3,17.193900813883722,17.193900553295205,2.605885178752487e-07
12,c_Q3,17.193900813883722,17.193900553295205,2.605885178752487e-07
